user_id,/,/features/mobile,/signup,/tutorial/intro,/tutorial/step-one,/tutorial/step-two,/tutorial/step-three,/tutorial/step-four,/tutorial/end,/about,/features/web,/features,/features/desktop,/pricing
1,13,,11.0,7.0,2.0,18.0,6.0,,,,,18.0,,
2,14,,2.0,20.0,16.0,1.0,4.0,13.0,5.0,,11.0,,,18.0
3,16,,,,,,,,,,,,,
4,1,,1.0,12.0,6.0,1.0,11.0,10.0,16.0,,,,,
5,16,3.0,12.0,4.0,6.0,10.0,11.0,20.0,13.0,,,,,
6,19,8.0,2.0,5.0,13.0,20.0,18.0,,,,19.0,,6.0,
7,2,,,,,,,,,,2.0,,,
8,3,,13.0,12.0,,,,,,,,,,
9,1,,,,,,,,,,,,,
10,4,8.0,9.0,,,,,,,,,,,
11,13,,,,,,,,,,,,,
12,2,1.0,2.0,,,,,,,,,,,
13,8,6.0,14.0,10.0,14.0,,,,,,2.0,12.0,13.0,20.0
14,2,,2.0,,,,,,,,1.0,,2.0,
15,3,,18.0,4.0,,,,,,,,,,
16,7,,,,,,,,,,,,,
17,10,14.0,14.0,19.0,7.0,2.0,8.0,10.0,20.0,,9.0,,,
18,17,,20.0,19.0,5.0,3.0,13.0,5.0,5.0,,,8.0,,
19,15,,6.0,,,,,,,,,15.0,,19.0
20,2,,2.0,19.0,,,,,,,18.0,,,1.0
21,20,1.0,10.0,17.0,5.0,5.0,2.0,17.0,9.0,,,,,
22,17,,,,,,,,,,,,,
23,9,,3.0,12.0,14.0,6.0,16.0,4.0,2.0,,9.0,4.0,,
24,6,,4.0,9.0,10.0,3.0,3.0,4.0,9.0,,,,16.0,
25,8,17.0,3.0,16.0,4.0,1.0,18.0,15.0,9.0,,3.0,,5.0,
26,6,,1.0,11.0,4.0,13.0,12.0,8.0,8.0,,,,,
27,20,,,,,,,,,,,15.0,5.0,
28,12,,,,,,,,,,,,,
29,5,,15.0,7.0,3.0,12.0,2.0,,,,5.0,,,8.0
30,17,,1.0,,,,,,,,,,,
31,16,13.0,20.0,14.0,15.0,13.0,6.0,9.0,20.0,,,10.0,11.0,
32,12,,18.0,10.0,3.0,,,,,,,,9.0,
33,13,,2.0,5.0,,,,,,,,13.0,,
34,19,,7.0,11.0,4.0,2.0,15.0,1.0,5.0,,,,,
35,2,,14.0,,,,,,,,,,,
36,2,1.0,1.0,,,,,,,2.0,2.0,,,
37,13,,8.0,6.0,12.0,6.0,17.0,16.0,14.0,,,,20.0,
38,7,,6.0,6.0,11.0,17.0,7.0,5.0,7.0,,9.0,,12.0,
39,2,2.0,2.0,,,,,,,2.0,2.0,,2.0,
40,7,,13.0,1.0,9.0,3.0,18.0,14.0,1.0,,12.0,,,
41,14,16.0,17.0,,,,,,,,,,8.0,
42,9,,10.0,,,,,,,,2.0,20.0,16.0,
43,1,1.0,1.0,,,,,,,,1.0,,,1.0
44,19,,,,,,,,,,,,,
45,11,,4.0,,,,,,,,,,,
46,11,,,,,,,,,,,,,
47,14,17.0,1.0,13.0,19.0,14.0,14.0,17.0,11.0,,14.0,17.0,,
48,12,,,,,,,,,,,,,
49,9,,,,,,,,,,,,,
50,11,,,,,,,,,,,,,
51,10,,,,,,,,,,,,,
52,2,1.0,1.0,,,,,,,,,1.0,1.0,
53,20,,,,,,,,,,,,,
54,9,,,,,,,,,,,,,
55,1,,2.0,,,,,,,,,,2.0,
56,8,,1.0,6.0,15.0,8.0,12.0,19.0,,,15.0,11.0,,
57,11,,5.0,10.0,6.0,17.0,14.0,3.0,4.0,,,19.0,,
58,1,2.0,1.0,,,,,,,,1.0,,,
59,5,,6.0,15.0,14.0,14.0,5.0,10.0,20.0,,6.0,,,6.0
60,2,,17.0,,,,,,,,,,,20.0
61,1,,3.0,,,,,,,,,,,
62,1,,1.0,,,,,,,,,,2.0,
63,14,,10.0,4.0,4.0,19.0,7.0,7.0,9.0,,,2.0,8.0,
64,10,,5.0,19.0,20.0,7.0,12.0,14.0,16.0,,,,2.0,
65,2,,11.0,5.0,1.0,5.0,9.0,19.0,9.0,,10.0,,,
